Pixel;q_xy(A^-1);Intensity
682.000000;-0.478686;2162.238000
683.000000;-0.476221;2138.476000
684.000000;-0.473755;2105.286000
685.000000;-0.471289;2113.429000
686.000000;-0.468823;2089.238000
687.000000;-0.466357;2089.476000
688.000000;-0.463890;2078.095000
689.000000;-0.461424;2063.381000
690.000000;-0.458956;2082.571000
691.000000;-0.456489;2080.857000
692.000000;-0.454022;2101.143000
693.000000;-0.451554;2110.143000
694.000000;-0.449086;2123.571000
695.000000;-0.446617;2140.571000
696.000000;-0.444149;2179.857000
697.000000;-0.441680;2183.714000
698.000000;-0.439211;2226.619000
699.000000;-0.436742;2237.095000
700.000000;-0.434272;2239.143000
701.000000;-0.431803;2255.667000
702.000000;-0.429333;2240.286000
703.000000;-0.426863;2278.286000
704.000000;-0.424392;2292.238000
705.000000;-0.421922;2312.905000
706.000000;-0.419451;2346.857000
707.000000;-0.416980;2373.714000
708.000000;-0.414508;2415.429000
709.000000;-0.412037;2463.667000
710.000000;-0.409565;2517.810000
711.000000;-0.407093;2611.619000
712.000000;-0.404621;2694.238000
713.000000;-0.402149;2834.714000
714.000000;-0.399676;3032.143000
715.000000;-0.397203;3258.571000
716.000000;-0.394730;3604.429000
717.000000;-0.392257;4097.952000
718.000000;-0.389784;4836.810000
719.000000;-0.387310;5966.333000
720.000000;-0.384836;7719.095000
721.000000;-0.382362;10054.000000
722.000000;-0.379888;12990.520000
723.000000;-0.377413;16051.000000
724.000000;-0.374938;18695.140000
725.000000;-0.372463;20310.140000
726.000000;-0.369988;20749.380000
727.000000;-0.367513;19935.240000
728.000000;-0.365038;18175.480000
729.000000;-0.362562;15672.140000
730.000000;-0.360086;13012.900000
731.000000;-0.357610;10412.290000
732.000000;-0.355134;8314.143000
733.000000;-0.352657;6737.571000
734.000000;-0.350181;5679.810000
735.000000;-0.347704;4979.190000
736.000000;-0.345227;4497.952000
737.000000;-0.342749;4084.810000
738.000000;-0.340272;3972.143000
739.000000;-0.337794;3858.095000
740.000000;-0.335317;3772.286000
741.000000;-0.332839;3703.381000
742.000000;-0.330361;3703.524000
743.000000;-0.327882;3742.476000
744.000000;-0.325404;3789.048000
745.000000;-0.322925;3858.476000
746.000000;-0.320446;3960.429000
747.000000;-0.317967;4123.095000
748.000000;-0.315488;4327.524000
749.000000;-0.313009;4531.190000
750.000000;-0.310529;4748.905000
751.000000;-0.308050;5068.429000
752.000000;-0.305570;5370.143000
753.000000;-0.303090;5762.048000
754.000000;-0.300610;6116.000000
755.000000;-0.298129;6495.952000
756.000000;-0.295649;6857.810000
757.000000;-0.293168;7120.667000
758.000000;-0.290687;7327.381000
759.000000;-0.288206;7423.238000
760.000000;-0.285725;7370.667000
761.000000;-0.283244;7198.381000
762.000000;-0.280762;6956.190000
763.000000;-0.278281;6591.095000
764.000000;-0.275799;6196.571000
765.000000;-0.273317;5774.714000
766.000000;-0.270835;5335.857000
767.000000;-0.268353;4939.476000
768.000000;-0.265871;4563.952000
769.000000;-0.263388;4185.429000
770.000000;-0.260905;3911.429000
771.000000;-0.258423;3654.095000
772.000000;-0.255940;3445.952000
773.000000;-0.253457;3241.429000
774.000000;-0.250974;3132.810000
775.000000;-0.248490;2976.143000
776.000000;-0.246007;2890.048000
777.000000;-0.243523;2773.476000
778.000000;-0.241040;2705.524000
779.000000;-0.238556;2639.048000
780.000000;-0.236072;2604.476000
781.000000;-0.233588;2533.048000
782.000000;-0.231103;2497.762000
783.000000;-0.228619;2466.381000
784.000000;-0.226135;2436.714000
785.000000;-0.223650;2376.143000
786.000000;-0.221165;2376.238000
787.000000;-0.218680;2373.952000
788.000000;-0.216195;2320.524000
789.000000;-0.213710;2309.524000
790.000000;-0.211225;2279.571000
791.000000;-0.208740;2272.619000
792.000000;-0.206254;2264.000000
793.000000;-0.203769;2247.095000
794.000000;-0.201283;2255.667000
795.000000;-0.198798;2224.619000
796.000000;-0.196312;2225.476000
797.000000;-0.193826;2229.238000
798.000000;-0.191340;2207.333000
799.000000;-0.188854;2202.286000
800.000000;-0.186367;2197.381000
801.000000;-0.183881;2221.000000
802.000000;-0.181394;2190.905000
803.000000;-0.178908;2197.857000
804.000000;-0.176421;2218.048000
805.000000;-0.173934;2195.952000
806.000000;-0.171448;2195.000000
807.000000;-0.168961;2188.952000
808.000000;-0.166474;2200.048000
809.000000;-0.163986;2197.190000
810.000000;-0.161499;2192.714000
811.000000;-0.159012;2215.143000
812.000000;-0.156525;2200.810000
813.000000;-0.154037;2220.095000
814.000000;-0.151549;2237.905000
815.000000;-0.149062;2243.905000
816.000000;-0.146574;2226.333000
817.000000;-0.144086;2248.238000
