Pixel;q_z(A^-1);Intensity
756.000000;0.518422;6702.934000
757.000000;0.515970;7338.947000
758.000000;0.513518;8023.842000
759.000000;0.511066;8706.184000
760.000000;0.508613;9321.961000
761.000000;0.506160;9923.197000
762.000000;0.503706;10466.830000
763.000000;0.501252;10940.300000
764.000000;0.498798;11383.950000
765.000000;0.496343;11806.290000
766.000000;0.493888;12224.290000
767.000000;0.491432;12626.670000
768.000000;0.488977;13056.030000
769.000000;0.486521;13521.880000
770.000000;0.484064;13937.200000
771.000000;0.481607;14333.160000
772.000000;0.479150;14656.760000
773.000000;0.476693;14825.380000
774.000000;0.474235;14869.280000
775.000000;0.471777;14822.890000
776.000000;0.469319;14345.880000
777.000000;0.466860;13778.530000
778.000000;0.464401;13059.660000
779.000000;0.461941;12206.930000
780.000000;0.459481;11294.820000
781.000000;0.457021;10340.960000
782.000000;0.454561;9424.934000
783.000000;0.452100;8511.750000
784.000000;0.449639;7675.882000
785.000000;0.447178;6956.855000
786.000000;0.444716;6314.684000
787.000000;0.442254;5779.447000
788.000000;0.439792;5301.618000
789.000000;0.437329;4954.579000
790.000000;0.434866;4637.000000
791.000000;0.432403;4416.500000
792.000000;0.429939;4230.974000
793.000000;0.427476;4103.553000
794.000000;0.425011;4023.842000
795.000000;0.422547;3969.961000
796.000000;0.420082;3975.750000
797.000000;0.417617;3986.882000
798.000000;0.415152;4002.513000
799.000000;0.412686;4026.868000
800.000000;0.410220;4092.276000
801.000000;0.407754;4188.408000
802.000000;0.405287;4347.947000
803.000000;0.402821;4599.500000
804.000000;0.400353;5008.355000
805.000000;0.397886;5600.921000
806.000000;0.395418;6377.697000
807.000000;0.392950;7303.855000
808.000000;0.390482;8209.447000
809.000000;0.388014;8935.934000
810.000000;0.385545;9342.737000
811.000000;0.383076;9431.974000
812.000000;0.380607;9214.947000
813.000000;0.378137;8762.842000
814.000000;0.375667;8194.171000
815.000000;0.373197;7692.566000
816.000000;0.370727;7247.579000
817.000000;0.368256;6946.026000
818.000000;0.365785;6764.461000
819.000000;0.363314;6738.579000
820.000000;0.360843;6803.289000
821.000000;0.358371;6995.434000
822.000000;0.355899;7255.184000
823.000000;0.353427;7595.934000
824.000000;0.350954;8033.553000
825.000000;0.348482;8536.316000
826.000000;0.346009;9127.368000
827.000000;0.343535;9798.579000
828.000000;0.341062;10608.530000
829.000000;0.338588;11478.950000
830.000000;0.336114;12441.680000
831.000000;0.333640;12813.170000
832.000000;0.331166;nan
833.000000;0.328691;nan
834.000000;0.326216;nan
835.000000;0.323741;nan
836.000000;0.321266;nan
837.000000;0.318790;nan
838.000000;0.316315;nan
839.000000;0.313839;nan
840.000000;0.311362;nan
841.000000;0.308886;nan
842.000000;0.306409;nan
843.000000;0.303932;nan
844.000000;0.301455;nan
845.000000;0.298978;nan
846.000000;0.296500;nan
847.000000;0.294023;nan
848.000000;0.291545;nan
849.000000;0.289067;18348.670000
850.000000;0.286588;18555.860000
851.000000;0.284110;17845.430000
852.000000;0.281631;17118.920000
853.000000;0.279152;16406.820000
854.000000;0.276673;15787.960000
855.000000;0.274193;15160.540000
856.000000;0.271714;14664.910000
857.000000;0.269234;14193.660000
858.000000;0.266754;13714.820000
859.000000;0.264274;13348.720000
860.000000;0.261794;13016.530000
861.000000;0.259313;12704.010000
862.000000;0.256833;12448.860000
863.000000;0.254352;12179.870000
864.000000;0.251871;11974.110000
865.000000;0.249389;11780.640000
866.000000;0.246908;11662.170000
867.000000;0.244426;11508.550000
868.000000;0.241945;11431.800000
869.000000;0.239463;11361.120000
870.000000;0.236981;11316.700000
871.000000;0.234498;11274.720000
872.000000;0.232016;11298.930000
873.000000;0.229533;11307.200000
874.000000;0.227051;11338.110000
875.000000;0.224568;11420.170000
876.000000;0.222085;11452.890000
877.000000;0.219601;11553.870000
878.000000;0.217118;11650.360000
