Pixel;q_z(A^-1);Intensity
849.000000;0.346240;18348.670000
850.000000;0.343766;18555.860000
851.000000;0.341293;17845.430000
852.000000;0.338819;17118.920000
853.000000;0.336345;16406.820000
854.000000;0.333871;15787.960000
855.000000;0.331397;15160.540000
856.000000;0.328922;14664.910000
857.000000;0.326448;14193.660000
858.000000;0.323972;13714.820000
859.000000;0.321497;13348.720000
860.000000;0.319022;13016.530000
861.000000;0.316546;12704.010000
862.000000;0.314070;12448.860000
863.000000;0.311594;12179.870000
864.000000;0.309117;11974.110000
865.000000;0.306641;11780.640000
866.000000;0.304164;11662.170000
867.000000;0.301687;11508.550000
868.000000;0.299209;11431.800000
869.000000;0.296732;11361.120000
870.000000;0.294254;11316.700000
871.000000;0.291776;11274.720000
872.000000;0.289298;11298.930000
873.000000;0.286820;11307.200000
874.000000;0.284341;11338.110000
875.000000;0.281862;11420.170000
876.000000;0.279384;11452.890000
877.000000;0.276904;11553.870000
878.000000;0.274425;11650.360000
879.000000;0.271945;11767.950000
880.000000;0.269466;11915.160000
